id,name_vi,name_en,category,green_basis,province_current_2026,province_legacy,admin_area,address_or_location,latitude,longitude,coordinate_type,contact_org,contact_phone,contact_email,contact_website,source_url,notes,image_url
VN-GREEN-011,Vườn quốc gia Bidoup - Núi Bà,Bidoup - Nui Ba National Park,national_park;biosphere_core_zone,Vùng lõi Khu dự trữ sinh quyển Langbiang; rừng thường xanh núi cao,Lâm Đồng,Lâm Đồng,Xã Lạc Dương,"Tiểu khu 97, xã Lạc Dương, tỉnh Lâm Đồng",12.083,108.683,representative_point,Vườn quốc gia Bidoup - Núi Bà,0263 3502 005; 0263 3747 449; 0947 047 449,vqgbdnb@lamdong.gov.vn; bidouptour@gmail.com,https://bidoupnuiba.gov.vn/,https://bidoupnuiba.gov.vn/lien-he/; https://www.internationalparks.org/park/Bidoup%20Nui%20Ba,Liên hệ gồm ban quản lý và trung tâm dịch vụ du lịch/khoa học.,https://upload.wikimedia.org/wikipedia/commons/4/45/Pine_trees_in_Bidoup-Nui_Ba_National_Park.jpg
VN-GREEN-012,Khu bảo tồn thiên nhiên Pù Luông,Pu Luong Nature Reserve,nature_reserve;community_ecotourism,"Rừng núi đá vôi, ruộng bậc thang, du lịch cộng đồng Thái - Mường",Thanh Hóa,Thanh Hóa,Bá Thước/Quan Hóa cũ,"Pù Luông, tỉnh Thanh Hóa",20.465,105.157,representative_point,Trung tâm Xúc tiến Du lịch Thanh Hóa,,,https://visitthanhhoa.vn/,https://visitthanhhoa.vn/,Cần bổ sung liên hệ ban quản lý khu bảo tồn nếu dùng làm cơ sở quản trị.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ru%E1%BB%99ng_b%E1%BA%ADc_thang_P%C3%B9_Lu%C3%B4ng_1_-_NKS.jpg/1920px-Ru%E1%BB%99ng_b%E1%BA%ADc_thang_P%C3%B9_Lu%C3%B4ng_1_-_NKS.jpg
VN-GREEN-013,Khu bảo tồn đất ngập nước Vân Long,Van Long Wetland Nature Reserve,wetland_nature_reserve;ramsar_candidate_or_important_wetland,"Đầm ngập nước nội địa, sinh cảnh voọc mông trắng, du lịch thuyền sinh thái",Ninh Bình,Ninh Bình,Khu vực Gia Viễn cũ,"Vân Long, tỉnh Ninh Bình",20.375,105.858,representative_point,Ban quản lý/điểm du lịch sinh thái Vân Long,,,https://sodulich.ninhbinh.gov.vn/vi/tai-nguyen-du-lich-tu-nhien/khu-bao-ton-thien-nhien-dat-ngap-nuoc-van-long-18.html,https://sodulich.ninhbinh.gov.vn/vi/tai-nguyen-du-lich-tu-nhien/khu-bao-ton-thien-nhien-dat-ngap-nuoc-van-long-18.html,Tọa độ đại diện bến/khu đầm; cần bổ sung polygon ranh giới.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Van_Long_Swamp_%2824135913297%29.jpg/1920px-Van_Long_Swamp_%2824135913297%29.jpg
VN-GREEN-014,Khu dự trữ sinh quyển rừng ngập mặn Cần Giờ,Can Gio Mangrove Biosphere Reserve,biosphere_reserve;mangrove_ecotourism,Khu dự trữ sinh quyển UNESCO đầu tiên của Việt Nam; phục hồi rừng ngập mặn,Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,Cần Giờ,"Cần Giờ, TP.HCM",10.4167,106.9667,representative_point,UBND/du lịch Cần Giờ; TP.HCM tourism,,,https://visithochiminhcity.vn/,https://portals.iucn.org/library/sites/library/files/documents/2012-108-En.pdf; https://visithochiminhcity.vn/,"Tọa độ là điểm đại diện khu sinh quyển, không phải ranh giới.",https://upload.wikimedia.org/wikipedia/commons/e/e5/Mangrove_in_Can_Gio_forest.jpg
VN-GREEN-015,Khu dự trữ sinh quyển Cù Lao Chàm - Hội An,Cu Lao Cham - Hoi An Biosphere Reserve,biosphere_reserve;marine_ecotourism,"Khu dự trữ sinh quyển UNESCO, du lịch biển đảo và bảo tồn cộng đồng",Đà Nẵng,Quảng Nam,Hội An/Cù Lao Chàm,"Cù Lao Chàm - Hội An, TP Đà Nẵng",15.953,108.507,representative_point,Trung tâm Quản lý Bảo tồn Di sản Văn hóa Hội An,,,https://hoianheritage.net/,https://hoianheritage.net/; https://www.unesco.org/en/mab,Quảng Nam đã sáp nhập vào Đà Nẵng.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Cu_Lao_Cham_Marine_Park%2C_Vietnam.jpg/1920px-Cu_Lao_Cham_Marine_Park%2C_Vietnam.jpg
VN-GREEN-016,Rừng tràm Trà Sư,Tra Su Cajuput Forest,ecotourism_site;wetland_forest,"Rừng tràm ngập nước, du lịch sinh thái chim nước và mùa nước nổi",An Giang,An Giang,Khu vực Tịnh Biên,"Văn Giáo/Tịnh Biên, tỉnh An Giang",10.582,105.077,representative_point,Khu du lịch sinh thái Rừng tràm Trà Sư,,,https://www.trasu.vn/,https://www.trasu.vn/,Điểm du lịch sinh thái tư nhân/địa phương; cần xác minh điện thoại mới nhất.,https://upload.wikimedia.org/wikipedia/commons/f/f3/R%E1%BB%ABng_tr%C3%A0m_Tr%C3%A0_S%C6%B0.jpg
VN-GREEN-017,Làng du lịch Tân Hóa,Tan Hoa Tourism Village,best_tourism_village;community_based_tourism,UN Tourism Best Tourism Village 2023; mô hình du lịch thích ứng thời tiết/lũ,Quảng Trị,Quảng Bình,"Tân Hóa, Minh Hóa cũ","Tân Hóa, tỉnh Quảng Trị",17.714,105.936,village_representative_point,Tân Hóa Tourism Village / Oxalis Adventure,0919 900 357,contact@oxalisadventure.com,https://tourism-villages.unwto.org/en/villages/tan-hoa/,https://tourism-villages.unwto.org/en/villages/tan-hoa/; https://oxalisadventure.com/tour/tan-hoa-village-package/mtpdf/,Liên hệ tour là đơn vị vận hành công bố cho gói trải nghiệm Tân Hóa.,https://tourism-villages.unwto.org/wp-content/uploads/2023/10/Cover-30-scaled.jpg
VN-GREEN-018,Làng nhà sàn dân tộc sinh thái Thái Hải,Thai Hai Eco Ethnic Stilt House Village,best_tourism_village;community_based_tourism,UN Tourism Best Tourism Village 2022; bảo tồn văn hóa Tày và sinh thái cộng đồng,Thái Nguyên,Thái Nguyên,Khu vực Thái Nguyên,"Thái Hải, tỉnh Thái Nguyên",21.662,105.805,village_representative_point,Khu bảo tồn làng nhà sàn dân tộc sinh thái Thái Hải,,,https://www.facebook.com/sinhthaithaihai/?locale=vi_VN,https://www.facebook.com/sinhthaithaihai/?locale=vi_VN,Cần xác minh điện thoại/email trên website chính thức trước khi dùng liên hệ hàng loạt.,https://tourism-villages.unwto.org/wp-content/uploads/2022/11/vietnam03-2048x1367.jpg
VN-GREEN-019,Làng rau Trà Quế,Tra Que Vegetable Village,best_tourism_village;agritourism,"UN Tourism Best Tourism Village 2024; nông nghiệp VietGAP, du lịch nông nghiệp cộng đồng",Đà Nẵng,Quảng Nam,Hội An,"Trà Quế, Hội An, TP Đà Nẵng",15.8915,108.3405,village_representative_point,Hội An World Heritage / chính quyền Hội An,,,http://www.hoianworldheritage.org.vn/,https://tourism-villages.unwto.org/en/villages/tra-que-vegetable-village-viet-nam/; https://vietnam.travel/node/1672,Quảng Nam đã sáp nhập vào Đà Nẵng.,https://tourism-villages.unwto.org/wp-content/uploads/2024/11/Tra-Que-Vegetable-Village.jpg
VN-GREEN-020,Làng Lô Lô Chải,Lo Lo Chai Village,best_tourism_village;community_based_tourism,UN Tourism Best Tourism Village 2025; du lịch cộng đồng gắn bảo tồn văn hóa Lô Lô,Tuyên Quang,Hà Giang,Khu vực Đồng Văn cũ,"Lô Lô Chải, tỉnh Tuyên Quang",23.279,105.319,village_representative_point,Lô Lô Chải Tourism,,,https://lolochai.vn/,https://tourism-villages.unwto.org/en/villages/lo-lo-chai/,Hà Giang đã sáp nhập vào Tuyên Quang.,https://tourism-villages.unwto.org/wp-content/uploads/2025/09/Lo-Lo-Chai_MINI.jpg
VN-GREEN-021,Làng du lịch cộng đồng Quỳnh Sơn,Quynh Son Community Tourism Village,best_tourism_village;community_based_tourism,"UN Tourism Best Tourism Village 2025; nhà sàn Tày, cảnh quan thung lũng Bắc Sơn",Lạng Sơn,Lạng Sơn,Bắc Sơn,"Quỳnh Sơn, Bắc Sơn, tỉnh Lạng Sơn",21.77,106.429,village_representative_point,Du lịch Lạng Sơn / cộng đồng Quỳnh Sơn,,,https://langsontourism.com.vn/vi/quynhsonlsn,https://langsontourism.com.vn/vi/quynhsonlsn,Tọa độ đại diện; cần lấy lại từ địa chính/OSM khi dựng layer chi tiết.,https://tourism-villages.unwto.org/wp-content/uploads/2025/09/Quynh-Son-Community-based-Tourism-Village_MINI.jpg
VN-GREEN-027,Quần thể danh thắng Tràng An,Trang An Landscape Complex,unesco_world_heritage;ecotourism_landscape,"Di sản hỗn hợp UNESCO; cảnh quan karst, sông nước, du lịch sinh thái văn hóa",Ninh Bình,Ninh Bình,Hoa Lư/Ninh Bình,"Tràng An, tỉnh Ninh Bình",20.2538,105.9183,representative_point,Ban Quản lý Quần thể danh thắng Tràng An,,,https://whc.unesco.org/en/list/1438/,https://whc.unesco.org/en/list/1438/; https://ninhbinhtourism.com.vn/,Tọa độ điểm đại diện; nên dùng polygon di sản/buffer zone cho phân tích GIS.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Muaxuantamcoc.jpg/330px-Muaxuantamcoc.jpg
VN-GREEN-028,Vịnh Hạ Long - Quần đảo Cát Bà,Ha Long Bay - Cat Ba Archipelago,unesco_world_heritage;marine_landscape,Di sản thiên nhiên thế giới UNESCO mở rộng; cảnh quan karst biển đảo,Quảng Ninh; Hải Phòng,Quảng Ninh; Hải Phòng,Hạ Long/Cát Bà,Vịnh Hạ Long - quần đảo Cát Bà,20.9101,107.1839,representative_point,Ban Quản lý Vịnh Hạ Long; VQG Cát Bà,,,https://whc.unesco.org/en/list/672/,https://whc.unesco.org/en/list/672/; https://catbanationalpark.com/english,Một điểm đại diện cho cụm di sản liên tỉnh/thành.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ha_Long_Bay_in_2019.jpg/330px-Ha_Long_Bay_in_2019.jpg
VN-GREEN-029,Vườn quốc gia U Minh Thượng,U Minh Thuong National Park,national_park;ramsar_wetland,Ramsar; rừng tràm than bùn hiếm của Đồng bằng sông Cửu Long,An Giang,Kiên Giang,U Minh Thượng cũ,"U Minh Thượng, tỉnh An Giang",9.593889,105.095,ramsar_reference_point,Vườn quốc gia U Minh Thượng,,letuyenumt@gmail.com,,https://rsis.ramsar.org/ris/2228; https://hazeportal.asean.org/wp-content/uploads/2024/07/2015_apfpcompletionreport02-web.pdf,"Kiên Giang đã sáp nhập vào An Giang; email lấy từ tài liệu dự án ASEAN, cần xác minh.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/RungUMinh1.jpg/330px-RungUMinh1.jpg
VN-GREEN-030,Vườn quốc gia Mũi Cà Mau,Mui Ca Mau National Park,national_park;ramsar;mangrove_ecotourism,"Ramsar, rừng ngập mặn mũi cực Nam, du lịch sinh thái đất mũi",Cà Mau,Cà Mau,Đất Mũi/Ngọc Hiển cũ,"Đất Mũi, tỉnh Cà Mau",8.617,104.741,representative_point,Vườn quốc gia Mũi Cà Mau,0290 3870 545,,https://muicamau.gov.vn/,https://maps.apple.com/place?place-id=I55E431E97187B73; https://en.wikipedia.org/wiki/M%C5%A9i_C%C3%A0_Mau_National_Park,Tọa độ đại diện khu mũi; nên lấy ranh giới Ramsar/VQG nếu phân tích diện tích.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Mui_Ca_Mau_005.JPG/330px-Mui_Ca_Mau_005.JPG
VN-GREEN-031,Khu dự trữ sinh quyển Đồng Nai,Dong Nai Biosphere Reserve,biosphere_reserve,Khu dự trữ sinh quyển UNESCO; vùng lõi là VQG Cát Tiên và Khu bảo tồn Vĩnh Cửu,Đồng Nai; Lâm Đồng,Đồng Nai; Lâm Đồng; Bình Dương,Vùng đệm VQG Cát Tiên - Vĩnh Cửu,"Ban quản lý Khu dự trữ sinh quyển Đồng Nai, tỉnh Đồng Nai",11.416667,107.383333,representative_point,Ban quản lý KDT Sinh quyển Đồng Nai,,,https://www.dongnaibr.vn/aboutme,https://www.dongnaibr.vn/aboutme,Khu dự trữ sinh quyển thứ 6 của VN được UNESCO công nhận năm 2011.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cat_Tien_National_Park%2C_Vietnam.jpg/1920px-Cat_Tien_National_Park%2C_Vietnam.jpg
VN-GREEN-032,Khu dự trữ sinh quyển Mũi Cà Mau,Ca Mau Cape Biosphere Reserve,biosphere_reserve;mangrove_ecotourism,Khu dự trữ sinh quyển UNESCO; hệ sinh thái rừng ngập mặn và đất ngập nước điển hình vùng cực Nam,Cà Mau,Cà Mau,Huyện Ngọc Hiển; U Minh,"Mũi Cà Mau, huyện Ngọc Hiển, tỉnh Cà Mau",8.583333,104.716667,representative_point,Vườn quốc gia Mũi Cà Mau,0290 3877 033,,https://nbca.gov.vn/du-an-br/khu-du-tru-sinh-quyen/khu-dtsq-mui-ca-mau/,https://nbca.gov.vn/du-an-br/khu-du-tru-sinh-quyen/khu-dtsq-mui-ca-mau/,UNESCO công nhận năm 2009; trùng lặp một phần với VQG Mũi Cà Mau (VN-GREEN-030).,https://nbca.gov.vn/wp-content/uploads/2024/02/camau8.png
VN-GREEN-033,Khu dự trữ sinh quyển Tây Nghệ An,Western Nghe An Biosphere Reserve,biosphere_reserve,Khu dự trữ sinh quyển UNESCO lớn nhất Đông Nam Á; vùng lõi gồm VQG Pù Mát và các khu bảo tồn,Nghệ An,Nghệ An,"Khu vực Con Cuông, Tương Dương, Kỳ Sơn","Ban quản lý KDTSQ Tây Nghệ An, Con Cuông, Nghệ An",19.133333,104.766667,representative_point,Ban quản lý KDTSQ Tây Nghệ An,,,,https://sinhquyennghean.com.vn/gioi-thieu/khu-Du-tru-sinh-quyen-mien-tay-Nghe-An,UNESCO công nhận năm 2007; diện tích ~1.3 triệu ha.,https://nbca.gov.vn/wp-content/uploads/2023/10/1024px-Annamite_range_pu_mat_2007_05-Rolf-Muller-770x367-1.jpg
VN-GREEN-034,Khu dự trữ sinh quyển Kiên Giang,Kien Giang Biosphere Reserve,biosphere_reserve;mangrove_ecotourism,"Khu dự trữ sinh quyển UNESCO; đa dạng hệ sinh thái biển đảo, rừng ngập mặn và đất ngập nước",Kiên Giang,Kiên Giang,Phú Quốc; U Minh Thượng; Hòn Chông,Tỉnh Kiên Giang,10.066667,104.066667,representative_point,Ban quản lý KDTSQ Kiên Giang,,,,https://vi.wikipedia.org/wiki/Khu_d%E1%BB%B1_tr%E1%BB%AF_sinh_quy%E1%BB%83n_ven_bi%E1%BB%83n_v%C3%A0_bi%E1%BB%83n_%C4%91%E1%BA%A3o_Ki%C3%AAn_Giang,UNESCO công nhận năm 2006.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/B%E1%BA%BFn_c%C3%A1_Ba_H%C3%B2n.jpg/330px-B%E1%BA%BFn_c%C3%A1_Ba_H%C3%B2n.jpg
VN-GREEN-035,Khu dự trữ sinh quyển Châu thổ sông Hồng,Red River Delta Biosphere Reserve,biosphere_reserve;ramsar,Khu dự trữ sinh quyển UNESCO; vùng lõi là VQG Xuân Thủy - khu Ramsar đầu tiên ở Đông Nam Á,Nam Định,Nam Định; Thái Bình,Giao Thủy; Tiền Hải,"Khu vực cửa Ba Lạt, huyện Giao Thủy, Nam Định",20.216667,106.55,representative_point,VQG Xuân Thủy / Ban quản lý KDTSQ châu thổ sông Hồng,0228 3882 028,,https://vuonquocgiaxuanthuy.org.vn/,https://vi.wikipedia.org/wiki/Khu_d%E1%BB%B1_tr%E1%BB%AF_sinh_quy%E1%BB%83n_ch%C3%A2u_th%E1%BB%95_s%C3%B4ng_H%E1%BB%93ng,UNESCO công nhận năm 2004; trùng lõi với VQG Xuân Thủy (Ramsar site số 50).,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ch%C3%A2u_th%E1%BB%95_s%C3%B4ng_H%E1%BB%93ng_1.jpg/250px-Ch%C3%A2u_th%E1%BB%95_s%C3%B4ng_H%E1%BB%93ng_1.jpg
VN-GREEN-036,Vườn quốc gia Xuân Thủy,Xuan Thuy National Park,national_park;ramsar;biosphere_reserve,Khu Ramsar đầu tiên ở Đông Nam Á (1989); rừng ngập mặn cửa sông Hồng; điểm dừng chim di cư quan trọng,Nam Định,Nam Định,Huyện Giao Thủy,"Huyện Giao Thủy, tỉnh Nam Định",20.233333,106.566667,representative_point,Vườn quốc gia Xuân Thủy,0228 3882 028,vqgxuanthuy@gmail.com,https://vuonquocgiaxuanthuy.org.vn/,https://www.vuonquocgiaxuanthuy.org.vn/,Ramsar site số 50; nằm trong vùng lõi KDTSQ châu thổ sông Hồng.,https://vovworld.vn/sites/default/files/world/Uploaded/honganh/2016_11_18/xuan%20thuy1.jpg
VN-GREEN-037,Vườn quốc gia Pù Mát,Pu Mat National Park,national_park;biosphere_reserve,"Vùng lõi KDTSQ Tây Nghệ An; rừng nguyên sinh, hổ Đông Dương, sao la",Nghệ An,Nghệ An,Huyện Con Cuông,"Huyện Con Cuông, tỉnh Nghệ An",18.916667,104.716667,representative_point,Vườn quốc gia Pù Mát,0238 3874 044,,http://vuonquocgiapumat.vn/,https://pumat.vn/,,https://pumat.vn/wp-content/uploads/2021/07/Vooc-xam-e1626341347221.jpg
VN-GREEN-038,Vườn quốc gia Phú Quốc,Phu Quoc National Park,national_park;biosphere_reserve;marine_protected_area,Rừng nguyên sinh đảo lớn nhất VN; vùng lõi KDTSQ Kiên Giang; bảo tồn biển Phú Quốc,Kiên Giang,Kiên Giang,Đặc khu Phú Quốc,"Phía Bắc đảo Phú Quốc, tỉnh Kiên Giang",10.333333,103.966667,representative_point,Vườn quốc gia Phú Quốc,0297 3847 320,,,https://phuquoctrip.com/vi/blog/vuon-quoc-gia-phu-quoc.html,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7oxhTnqp_YL9S_lxr4qSWwh1v3bsZrzkDzQ&s
VN-GREEN-039,Vườn quốc gia U Minh Hạ,U Minh Ha National Park,national_park;ramsar_wetland;mangrove_ecotourism,Rừng tràm trên đất than bùn; hệ sinh thái đặc trưng U Minh; đề cử Ramsar,Cà Mau,Cà Mau,Huyện U Minh; Trần Văn Thời,"Huyện U Minh, tỉnh Cà Mau",9.216667,104.983333,representative_point,Vườn quốc gia U Minh Hạ,0290 3885 044,,http://vuonquocgiauminh ha.vn/,https://vuonqgumh.camau.gov.vn/,Cặp đôi sinh thái tràm với U Minh Thượng (VN-GREEN-029).,https://thamhiemmekong.com/wp-content/uploads/2020/04/vuonquocgiauminhha-1.jpg
VN-GREEN-040,Vườn quốc gia Lò Gò - Xa Mát,Lo Go - Xa Mat National Park,national_park,Rừng khộp và rừng hỗn giao vùng biên giới Campuchia; đa dạng sinh học cao,Tây Ninh,Tây Ninh,Huyện Tân Biên,"Huyện Tân Biên, tỉnh Tây Ninh",11.85,105.916667,representative_point,Vườn quốc gia Lò Gò - Xa Mát,0276 3870 073,,,https://logoxamat.tayninh.gov.vn/,,https://statics.vinpearl.com/vuon-quoc-gia-lo-go-xa-mat-1_1624589985.jpg
